"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"266351330231_779174707587256/266351330231_777242261113834/266351330231_777242261113834","95","6","2","266351330231_777242261113834","offcut","","fetched (200)","2024-03-05 19:33:47.870849","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_777210967783630","7","1","1","266351330231_777210967783630","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Peak packable puffer season calls for our high-performance Ultra Light Down Jacket. Featuring a packable design that folds down into its own pouch, this is the season’s best!   Shop in stores + online here: https://www.uniqlo.com/us/en/women/outerwear-and-blazers/ultra-light-down?storeId=101539&inventoryCondition=1 #Uniqlo #Uniqlousa","2023-12-27T15:00:42+0000","","",""
"266351330231_779174707587256/266351330231_777210967783630/266351330231_777210967783630","38","7","2","266351330231_777210967783630","empty","","fetched (200)","2024-03-05 19:33:36.243017","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_777210967783630/266351330231_777210967783630","39","7","2","266351330231_777210967783630","offcut","","fetched (200)","2024-03-05 19:33:36.243017","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_777210967783630/266351330231_777210967783630","96","7","2","266351330231_777210967783630","empty","","fetched (200)","2024-03-05 19:33:48.126548","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_777210967783630/266351330231_777210967783630","97","7","2","266351330231_777210967783630","offcut","","fetched (200)","2024-03-05 19:33:48.126548","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_776761377828589","8","1","1","266351330231_776761377828589","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","UNIQLO ASMR Y/N?   It’s a yes from us 😍😍  #Uniqlo #Uniqlousa","2023-12-26T23:21:16+0000","","",""
"266351330231_779174707587256/266351330231_776761377828589/266351330231_776761377828589","40","8","2","266351330231_776761377828589","data","data.*","fetched (200)","2024-03-05 19:33:36.654332","Facebook:/<post-id>/comments","Actually I want to grow your youtube channel","2023-12-28T11:49:11+0000","","",""
"266351330231_779174707587256/266351330231_776761377828589/266351330231_776761377828589","41","8","2","266351330231_776761377828589","data","data.*","fetched (200)","2024-03-05 19:33:36.654332","Facebook:/<post-id>/comments","💕❄🐦🚧💝  Love is not just a feeling, it’s an action👖https://aekkaphod.vercel.app/","2023-12-27T06:53:52+0000","","",""
"266351330231_779174707587256/266351330231_776761377828589/266351330231_776761377828589","42","8","2","266351330231_776761377828589","offcut","","fetched (200)","2024-03-05 19:33:36.654332","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_776761377828589/266351330231_776761377828589","98","8","2","266351330231_776761377828589","data","data.*","fetched (200)","2024-03-05 19:33:48.585436","Facebook:/<post-id>/comments","Actually I want to grow your youtube channel","2023-12-28T11:49:11+0000","","",""
